Justin Verlander,Clayton Kershaw,Max Scherzer,Chris Sale,Gerrit Cole,Jacob deGrom,Johnny Cueto,Aaron Nola,Zack Wheeler,Yu Darvish,Sonny Gray,Jose Quintana,Lance Lynn,Luis Castillo,Kevin Gausman,Blake Snell,Max Fried,Kyle Hendricks,Craig Kimbrel,Marcus Stroman,Kenley Jansen,David Robertson,Nathan Eovaldi,Aroldis Chapman,Sandy Alcántara,Danny Duffy,Julio Teheran,Alex Cobb,Zac Gallen,Charlie Morton,Carlos Carrasco,Dallas Keuchel,Eduardo Rodríguez,Wade Miley,Kyle Freeland,Robbie Ray,Shane Bieber,Mike Clevinger,Raisel Iglesias,Carlos Rodón,Logan Webb,Michael Wacha,Corbin Burnes,Rich Hill,Brandon Woodruff,Chris Bassitt,Dylan Cease,Germán Márquez,Seth Lugo,José Berríos,Kyle Gibson,Tyler Anderson,Jon Gray,Shohei Ohtani,Framber Valdez,Sean Manaea,Joe Musgrove,Adam Ottavino,Martín Pérez,Jameson Taillon,Pablo López,Alex Wood,Patrick Corbin,James Paxton,Jake Odorizzi,Merrill Kelly,Luis Severino,Zach Eflin,Ranger Suárez,Jack Flaherty,Michael Fulmer,Drew Smyly,Josh Hader,Drew Pomeranz,Blake Treinen,Lucas Giolito,Reynaldo López,Walker Buehler,Emmanuel Clase,Tarik Skubal,Jordan Montgomery,Lance McCullers Jr.,Edwin Díaz,Taijuan Walker,Anthony DeSclafani,Michael Lorenzen,John Means,Miles Mikolas,Nick Pivetta,Héctor Neris,Ryan Pressly,Logan Gilbert,Kendall Graveman,Michael King,Matthew Boyd,Tyler Chatwood,Tyler Mahle,Steven Matz,Freddy Peralta,Nestor Cortes,Liam Hendriks,Tanner Houck
Mets,Dodgers,Mets,Braves,Pirates,Mets,Marlins,Phillies,Mets,Cubs,Reds,Mets,Cardinals,Reds,Braves,Padres,Braves,Cubs,Braves,Mets,Braves,Marlins,Marlins,Cubs,Marlins,Royals,Braves,Giants,Marlins,Braves,Mets,Braves,Diamondbacks,Cubs,Rockies,Diamondbacks,Indians,Padres,Braves,Giants,Giants,Mets,Brewers,Mets,Brewers,Mets,Padres,Rockies,Mets,Twins,Phillies,Pirates,Rockies,Dodgers,Astros,Mets,Pirates,Mets,Pirates,Cubs,Marlins,Braves,Nationals,Dodgers,Braves,Diamondbacks,Mets,Phillies,Phillies,Cardinals,Cubs,Braves,Brewers,Brewers,Nationals,Nationals,Braves,Dodgers,Rangers,Tigers,Cardinals,Astros,Mets,Mets,Marlins,Phillies,Orioles,Cardinals,Phillies,Phillies,Astros,Mariners,Mariners,Padres,Mariners,Cubs,Reds,Mets,Brewers,Mariners,Athletics,Red Sox
Astros,,Nationals,White Sox,Astros,Rangers,Reds,,Phillies,Dodgers,Cardinals,Cubs,Dodgers,Mariners,Reds,Giants,,,Phillies,Cubs,Dodgers,Mets,Dodgers,Reds,Cardinals,,Mets,Angels,Diamondbacks,Phillies,Indians,Brewers,Tigers,Reds,,Giants,,White Sox,Reds,White Sox,,Cardinals,Orioles,Cubs,,Athletics,White Sox,,Padres,Blue Jays,Cardinals,Rockies,Rangers,Angels,,Padres,Padres,Cardinals,Padres,Pirates,Twins,Reds,Diamondbacks,Mariners,Astros,,Yankees,Rays,,Dodgers,Tigers,Phillies,Padres,Rockies,Dodgers,Angels,Nationals,,Indians,,Diamondbacks,,Mariners,Phillies,Reds,Reds,,Padres,Red Sox,Cubs,Twins,,Astros,Yankees,Tigers,Rockies,Rangers,Cardinals,,Yankees,Royals,
Tigers,,Diamondbacks,Red Sox,Yankees,,Giants,,,Padres,Athletics,Pirates,Rangers,,Giants,Rays,,,Cubs,Yankees,Red Sox,Phillies,Rangers,Pirates,,,Brewers,Rays,,Pirates,,Diamondbacks,Red Sox,Brewers,,Mariners,,Indians,Angels,Yankees,,Padres,,Pirates,,White Sox,,,Royals,,Rangers,Dodgers,,,,Giants,Astros,Rockies,Rangers,Yankees,,Dodgers,,Red Sox,Royals,,,Orioles,,Tigers,Twins,Cubs,Astros,Padres,Athletics,White Sox,Angels,,,,Rangers,,,Diamondbacks,Giants,Rangers,,Rangers,,Astros,,,Athletics,,Blue Jays,Giants,Twins,Blue Jays,,Orioles,Twins,
,,Dodgers,,,,Angels,,,Rangers,Twins,Cardinals,Twins,,Blue Jays,,,,Dodgers,Blue Jays,,Cubs,Red Sox,Rangers,,,Angels,Orioles,,Astros,,Rangers,,Diamondbacks,,Tigers,,,,,,Royals,,Dodgers,,Blue Jays,,,,,Twins,Giants,,,,Athletics,,Red Sox,Twins,,,Giants,,Yankees,Twins,,,,,Orioles,,Giants,,Giants,,,White Sox,,,,Yankees,,,Mariners,,Angels,,,,,,,White Sox,,,Angels,,,,,White Sox,
,,Rangers,,,,Royals,,,,Yankees,Giants,White Sox,,Orioles,,,,Padres,,,Rangers,Yankees,Royals,,,Tigers,,,Rays,,Astros,,Mariners,,Blue Jays,,,,,,Red Sox,,Padres,,,,,,,Orioles,Mariners,,,,,,Yankees,Red Sox,,,Athletics,,,Rays,,,,,,,Rangers,,Athletics,,,,,,,,,,Blue Jays,,Royals,,,,,,,Blue Jays,,,Blue Jays,,,,,Blue Jays,
,,Tigers,,,,White Sox,,,,,Angels,Yankees,,,,,,White Sox,,,White Sox,Rays,Yankees,,,,,,,,Twins,,Astros,,,,,,,,Rays,,Athletics,,,,,,,,Angels,,,,,,,,,,,,,,,,,,,,Tigers,,Red Sox,,,,,,,,,,,,Tigers,,,,,,,,,,,,,,,,
,,,,,,,,,,,White Sox,,,,,,,Red Sox,,,Yankees,,,,,,,,,,White Sox,,Red Sox,,,,,,,,,,Angels,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Orioles,,,Rays,,,,,,,,,,,,Orioles,,,,,,,,,,Twins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red Sox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yankees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
